21,-18.480648,-20.049242,-17.231508,-19.026993,-22.085672,-11.379243,-21.203299,-19.291288,-16.219114,-28.805798,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
21.5,-17.786749,-20.355801,-17.215229,-19.419336,-21.672411,-11.439817,-21.212667,-18.543276,-16.229128,-29.022573,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
22,-16.940643,-20.675451,-16.875238,-19.733044,-21.420864,-11.793784,-21.354311,-18.162952,-16.323282,-28.797947,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
22.5,-16.282234,-21.102486,-16.393032,-19.903124,-21.257217,-12.288804,-21.583858,-18.302046,-16.651205,-28.315651,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
23,-16.066418,-21.726851,-16.096912,-19.959839,-21.074343,-12.812314,-21.742558,-18.907843,-17.217686,-27.801872,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
23.5,-16.326485,-22.544865,-16.274035,-20.049978,-20.790018,-13.416926,-21.608,-19.75415,-17.870792,-27.410847,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
24,-16.918436,-23.389233,-16.988617,-20.359432,-20.392958,-14.256839,-21.052832,-20.543457,-18.413212,-27.201084,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
24.5,-17.607971,-24.0345,-18.06933,-20.951122,-19.911222,-15.433743,-20.145317,-21.064476,-18.705868,-27.104929,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
25,-18.207056,-24.340353,-19.221745,-21.762152,-19.400419,-16.925341,-19.119287,-21.235655,-18.76922,-26.970465,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
25.5,-18.6301,-24.28595,-20.16917,-22.623211,-18.872213,-18.519348,-18.255585,-21.162996,-18.842617,-26.657881,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
26,-18.817709,-23.965431,-20.79681,-23.363037,-18.262531,-19.911612,-17.67919,-21.060417,-19.214087,-26.104959,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
26.5,-18.714577,-23.481153,-21.11549,-23.940554,-17.503481,-20.842283,-17.332981,-21.106005,-20.05653,-25.431568,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
27,-18.253342,-22.944677,-21.194763,-24.444965,-16.56963,-21.196739,-17.024355,-21.393295,-21.314386,-24.897339,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
27.5,-17.369095,-22.426781,-21.146385,-25.05538,-15.520666,-21.095873,-16.546991,-21.898569,-22.716061,-24.71026,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
28,-16.136444,-21.869936,-21.027922,-25.903591,-14.54446,-20.784113,-15.819686,-22.520596,-23.882153,-24.877739,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
28.5,-14.745948,-21.166588,-20.828819,-26.960955,-13.856971,-20.457792,-14.899326,-23.175484,-24.438601,-25.18787,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
29,-13.435493,-20.235743,-20.506042,-28.034643,-13.64215,-20.188738,-13.929064,-23.816128,-24.224384,-25.378105,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
29.5,-12.434024,-19.090118,-20.009459,-28.846085,-13.965258,-19.890688,-13.073893,-24.440268,-23.376165,-25.334166,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
30,-11.885508,-17.892279,-19.359697,-29.158733,-14.707424,-19.426764,-12.41958,-25.02986,-22.236034,-25.086824,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
30.5,-11.854565,-16.875011,-18.628374,-28.931219,-15.665547,-18.729706,-11.954475,-25.424307,-21.189226,-24.793377,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
31,-12.261793,-16.211042,-17.87188,-28.317278,-16.648811,-17.81604,-11.610268,-25.376047,-20.446314,-24.606239,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
31.5,-12.873822,-15.932884,-17.109081,-27.604855,-17.558968,-16.7796,-11.329893,-24.669069,-19.982603,-24.543486,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
32,-13.45275,-15.954684,-16.313604,-27.082542,-18.419239,-15.762454,-11.159682,-23.257227,-19.607542,-24.512253,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
