41.5,-16.893389,-27.673031,-17.464325,-19.109657,-23.61058,-35,-35,-35,-35,-35
42,-17.089226,-26.475096,-16.63615,-19.490622,-24.158527,-35,-35,-35,-35,-35
42.5,-17.157858,-25.787828,-16.113972,-19.839943,-25.098185,-35,-35,-35,-35,-35
43,-17.246698,-25.56373,-15.92662,-20.147947,-26.307964,-35,-35,-35,-35,-35
43.5,-17.480572,-25.526213,-16.015514,-20.450823,-27.507133,-35,-35,-35,-35,-35
44,-17.854912,-25.368351,-16.320021,-20.779882,-28.40394,-35,-35,-35,-35,-35
44.5,-18.202751,-24.959755,-16.838078,-21.165884,-28.822826,-35,-35,-35,-35,-35
45,-18.287775,-24.426247,-17.607243,-21.656878,-28.795494,-35,-35,-35,-35,-35
45.5,-17.962891,-24.054167,-18.642529,-22.278736,-28.514168,-35,-35,-35,-35,-35
46,-17.192804,-24.095367,-19.905153,-23.013973,-28.229992,-35,-35,-35,-35,-35
46.5,-16.062531,-24.598978,-21.312206,-23.736568,-28.127703,-35,-35,-35,-35,-35
47,-14.779829,-25.405083,-22.732489,-24.262953,-28.245092,-35,-35,-35,-35,-35
47.5,-13.585679,-26.231997,-23.972662,-24.493889,-28.493008,-35,-35,-35,-35,-35
48,-12.696828,-26.774561,-24.880043,-24.43087,-28.691277,-35,-35,-35,-35,-35
48.5,-12.240201,-26.789124,-25.435392,-24.142719,-28.632265,-35,-35,-35,-35,-35
49,-12.219963,-26.187307,-25.755604,-23.669941,-28.208584,-35,-35,-35,-35,-35
49.5,-12.566602,-25.084494,-26.003923,-22.971542,-27.475622,-35,-35,-35,-35,-35
50,-13.210949,-23.809364,-26.239559,-22.003735,-26.659159,-35,-35,-35,-35,-35
50.5,-14.08831,-22.733622,-26.432714,-20.784103,-26.012905,-35,-35,-35,-35,-35
51,-15.133,-22.099266,-26.505327,-19.375248,-25.643745,-35,-35,-35,-35,-35
51.5,-16.219563,-21.953041,-26.354101,-17.915966,-25.507286,-35,-35,-35,-35,-35
52,-17.188078,-22.154312,-25.971117,-16.588709,-25.491053,-35,-35,-35,-35,-35
52.5,-17.834946,-22.50502,-25.468473,-15.597933,-25.477329,-35,-35,-35,-35,-35
53,-17.987097,-22.833048,-24.993876,-15.100681,-25.368567,-35,-35,-35,-35,-35
53.5,-17.660273,-23.068264,-24.662901,-15.127505,-25.048721,-35,-35,-35,-35,-35
54,-17.075636,-23.262255,-24.509705,-15.572446,-24.437435,-35,-35,-35,-35,-35
54.5,-16.576273,-23.508289,-24.521765,-16.21874,-23.52029,-35,-35,-35,-35,-35
55,-16.454382,-23.87072,-24.62504,-16.826944,-22.331299,-35,-35,-35,-35,-35
55.5,-16.787169,-24.364103,-24.702477,-17.28306,-21.018904,-35,-35,-35,-35,-35
